,Actual Value,Predicted Value
764,9095.06825,9808.02090520821
887,5272.1758,5862.185036025739
890,29330.98315,27208.43034853562
1293,9301.89355,9820.837000157162
259,33750.2918,35081.0937737217
1312,4536.259,6526.284089682072
899,2117.33885,2253.879561245965
752,14210.53595,14379.075392725937
1286,3732.6251,5908.052819977598
707,10264.4421,10939.218306134646
780,18259.216,20088.442735345754
567,7256.7231,7085.025516686671
76,3947.4131,5731.992588397411
265,46151.1245,44774.6709730587
901,48673.5588,46888.13232307653
893,44202.6536,44200.1170566729
650,9800.8882,10852.530962411533
615,42969.8527,43846.45627658586
538,8233.0975,9935.254935366618
916,21774.32215,24633.144375714826
413,5080.096,6720.479090771546
598,7441.501,9281.98361623892
513,1256.299,2588.8957210947065
78,2755.02095,3776.8276804757847
1135,11085.5868,11362.99313358887
561,10923.9332,12592.36562474468
904,12644.589,13983.573731208702
429,18804.7524,6106.723179430301
275,9715.841,11088.7989872525
808,1131.5066,2765.425671060123
1253,15828.82173,7095.764212355001
765,11842.62375,12485.674207675323
700,2020.5523,3006.1530264045655
1119,5693.4305,6364.2799442762125
1108,2904.088,5055.406134680901
777,7448.40395,10011.364470075543
363,2597.779,3567.7708980462107
1263,7337.748,8899.289650623601
1176,23887.6627,24035.568360182286
49,38709.176,40631.18643124477
32,4687.797,6093.277368658975
506,2643.2685,4542.119696009638
945,11674.13,12475.582491595405
1015,12124.9924,14381.511830710466
346,4889.9995,6526.876667766821
233,12333.828,16487.247824051738
51,3579.8287,7686.144036271818
869,4391.652,6039.97075221394
312,42124.5153,43160.94726185026
237,4463.2051,6416.4304252304
542,13887.204,14203.275633793986
270,1719.4363,4038.2303508029086
806,28476.73499,7096.341201241726
1296,1708.92575,2727.102342299233
1228,10594.2257,12596.210621926444
925,25333.33284,11265.514982270384
101,3645.0894,5225.01860489471
298,38746.3551,45065.084822969286
798,11848.141,12421.478212739326
221,10564.8845,12391.353853148314
208,13880.949,14083.7404411923
572,4753.6368,6508.279383054253
770,27941.28758,16776.984593197485
367,8017.06115,7093.307363653629
1098,23045.56616,11827.357614900811
63,4133.64165,5652.4521866805535
494,17942.106,18347.375510565747
289,25992.82104,12227.517972771653
1048,3594.17085,6065.596858087743
888,1682.597,3282.0330762724816
44,6079.6715,7355.63424511334
394,9411.005,10227.350459239842
1280,8283.6807,10684.676711874663
1143,6338.0756,7005.779668152886
239,7152.6714,9416.234871893765
979,4889.0368,5865.221871326305
906,4846.92015,6715.0618178305185
447,11454.0215,12533.376384975154
303,4349.462,6121.745657948818
1246,9101.798,9687.347286596956
374,1391.5287,2847.0151322848305
1321,28101.33305,27288.81950147921
163,5152.134,5854.421354227736
240,38511.6283,36894.76931312728
1047,44501.3982,39231.603140522944
254,41097.16175,43066.34668213446
670,4837.5823,6068.8204187878655
849,10601.63225,12490.335578252461
712,8310.83915,9249.618110488262
721,11264.541,12524.402798873885
462,15230.32405,17116.727066190248
664,27037.9141,25910.32915301924
818,23401.30575,30044.496895152064
755,5031.26955,6846.26425470115
1118,38282.7495,43715.37857779262
1309,6875.961,6891.976203963178
885,19719.6947,20656.850931149445
614,1880.07,2859.804734835625
1314,18765.87545,17873.285626805875
838,6402.29135,7700.523936557722
952,4527.18295,5833.296005027151
65,1743.214,2480.2856008495805
594,5709.1644,6659.047740140787
678,12363.547,13039.524394086231
868,13129.60345,14588.820738603386
710,1727.54,4729.553191988543
184,7731.4271,9360.803624571603
